fecha factura;id_ext; importe total en moneda local;importe total en euro;importe sin iva en euro;tarifa de cambio;país de origen;moneda local
28/11/2025;FR-495013403-2025-2_2025-11-01_2025-11-30;10,08;10,08;10,08;1,0;FR;EUR
31/12/2025;ES-CN-AEU-2025-304489_2025-12-01_2025-12-31;-28,23;-28,23;-23,33;1,0;LU;EUR
31/12/2025;ES-CN-AEU-2025-305959_2025-12-01_2025-12-31.pdf;-6,35;-6,35;-5,25;1,0;LU;EUR
31/12/2025;ES-CN-AEU-2025-313766_2025-12-01_2025-12-31;-1,0;-1,0;-0,83;1,0;ES;EUR
31/12/2025;ES-CN-AEU-2025-310713_2025-12-01_2025-12-31.pdf;0,55;0,55;0,45;1,0;LU;EUR
31/12/2025;ES-CN-AEU-2025-308114_2025-12-01_2025-12-31;-4,02;-4,02;-3,32;1,0;LU;EUR
30/11/2025;ES-CN-AEU-2025-280793_2025-11-01_2025-11-30;-5,52;-5,52;-4,56;1,0;LU;EUR
30/11/2025;ES-CN-AEU-2025-283028_2025-11-01_2025-11-30;-2,89;-2,89;-2,89;1,0;ES;EUR
31/12/2025;ES-CN-AEU-2025-293198_2025-12-01_2025-12-31.pdf;23,39;23,39;19,33;1,0;LU;EUR
31/12/2025;ES-CN-AEU-2025-296222_2025-12-01_2025-12-31;13,92;13,92;11,5;1,0;LU;EUR
30/11/2025;ES-CN-AEU-2025-272336;18,62;18,62;15,39;;ES;EUR
30/11/2025;ES-CN-AEU-2025-276370;38,48;38,48;31,8;;ES;EUR
30/11/2025;ES-CN-AEU-2025-275543;3,73;3,73;3,08;;ES;EUR
30/11/2025;ES-CN-AEU-2025-276675;15,99;15,99;13,21;;ES;EUR
30/11/2025;ES-CN-AEU-2025-279603;6,03;6,03;4,98;;ES;EUR
31/12/2025;ES-CN-AEU-2025-299861;31,71;31,71;26,21;;ES;EUR
30/11/2025;ES-CN-AEU-2025-264617;28,9;28,9;23,88;;ES;EUR
30/11/2025;ES-CN-AEU-2025-268922;20,32;20,32;16,79;;ES;EUR
31/10/2025;ES-CN-AEU-2025-244479;36,98;36,98;30,56;;ES;EUR
31/10/2025;ES-CN-AEU-2025-247222;14,94;14,94;12,35;;ES;EUR
31/10/2025;ES-CN-AEU-2025-237388;43,05;43,05;35,58;;ES;EUR
31/10/2025;ES-CN-AEU-2025-259452;6,19;6,19;5,12;;ES;EUR
31/12/2025;AE-SFZL-CN-2025-331695;5,72;;;AE;AED
31/12/2025;AE-SFZL-INV-2025-790253;6,86;;;AE;AED
31/10/2025;ES-AEU-2025-904738;3272,56;3272,56;2704,6;;ES;EUR
31/10/2025;ES-AEU-2025-904779;1426,86;1426,86;1179,22;;ES;EUR
31/10/2025;ES-AEU-2025-908814;680,54;680,54;562,43;;ES;EUR
31/10/2025;ES-AEU-2025-908824;391,92;391,92;323,9;;ES;EUR
31/10/2025;ES-AEU-2025-911639;1564,8;1564,8;1293,22;;ES;EUR
31/12/2025;ES-AEU-2025-1205405;64,76;700,79;579,16;0,09241;ES;SEK
31/12/2025;ES-AEU-2025-1205404;113,05;1223,35;1011,04;0,09241;ES;SEK
31/12/2025;ES-AEU-2025-1201852;3,59;3,59;3,59;;ES;EUR
31/12/2025;ES-AEU-2025-1196818;7,81;6,82;5,63;1,146;ES;GBP
31/12/2025;ES-AEU-2025-1196817;20,05;17,5;17,5;1,146;ES;GBP
31/12/2025;ES-AEU-2025-1193485;4,31;4,31;4,31;;ES;EUR
31/12/2025;ES-AEU-2025-1159276;2,31;2,31;2,31;;ES;EUR
31/12/2025;ES-AEU-2025-1158977;32,93;142,31;142,31;0,23139;ES;AED
31/12/2025;ES-AEU-2025-1155955;5,77;5,77;4,77;;LU;EUR
31/12/2025;ES-AEU-2025-1155953;17,82;17,82;14,73;;LU;EUR
31/12/2025;ES-AEU-2025-1152848;5,19;5,19;5,19;;ES;EUR
31/12/2025;ES-AEU-2025-1147337;45,28;45,28;37,42;;ES;EUR
31/12/2025;ES-AEU-2025-1147336;43,22;43,22;35,72;;ES;EUR
31/12/2025;ES-AEU-2025-1140094;48,07;48,07;39,73;;ES;EUR
31/12/2025;ES-AEU-2025-1140087;52,04;52,04;43,01;;ES;EUR
31/12/2025;ES-AEU-2025-1132620;592,46;592,46;489,64;;ES;EUR
31/12/2025;ES-AEU-2025-1132617;684,14;684,14;565,4;;ES;EUR
31/12/2025;ES-AEU-2025-1123616;818,86;818,86;676,74;;ES;EUR
31/12/2025;ES-AEU-2025-1123614;1709,99;1709,99;1413,21;;ES;EUR
31/12/2025;ES-AEU-2025-1115181;1469,94;1469,94;1214,83;;ES;EUR
31/12/2025;ES-AEU-2025-1115174;2823,49;2823,49;2333,46;;ES;EUR
31/12/2025;ES-AEU-2025-1112167;477,67;477,67;394,77;;ES;EUR
31/12/2025;ES-AEU-2025-1112151;1190,27;1190,27;983,69;;ES;EUR
30/11/2025;ES-AEU-2025-1096424;9,39;9,39;7,76;;LU;EUR
30/11/2025;ES-AEU-2025-1096423;22,64;22,64;18,71;;LU;EUR
30/11/2025;ES-AEU-2025-1096420;31,45;345,0;285,1;0,09116;ES;SEK
30/11/2025;ES-AEU-2025-1096418;53,99;592,26;489,47;0,09116;ES;SEK
30/11/2025;ES-AEU-2025-1091085;9,98;9,98;9,98;;ES;EUR
30/11/2025;ES-AEU-2025-1089270;9,18;9,18;9,18;;ES;EUR
30/11/2025;ES-AEU-2025-1059899;43,16;43,16;35,67;;ES;EUR
30/11/2025;ES-AEU-2025-1059898;71,61;71,61;59,18;;ES;EUR
30/11/2025;ES-AEU-2025-1029327;7,64;7,64;7,64;;ES;EUR
30/11/2025;ES-AEU-2025-1028705;41,7;41,7;34,46;;ES;EUR
30/11/2025;ES-AEU-2025-1028703;52,5;52,5;43,39;;ES;EUR
30/11/2025;ES-AEU-2025-1020061;2,45;2,14;1,77;1,1426;ES;GBP
30/11/2025;ES-AEU-2025-1020060;19,03;16,65;16,65;1,1426;ES;GBP
30/11/2025;ES-AEU-2025-1017654;1148,97;1148,97;949,56;;ES;EUR
30/11/2025;ES-AEU-2025-1014891;960,12;960,12;793,49;;ES;EUR
30/11/2025;ES-AEU-2025-1014890;1884,96;1884,96;1557,82;;ES;EUR
30/11/2025;ES-AEU-2025-1014498;2930,61;2930,61;2421,99;;ES;EUR
30/11/2025;ES-AEU-2025-1013899;574,2;574,2;474,55;;ES;EUR
30/11/2025;ES-AEU-2025-1013896;761,9;761,9;629,67;;ES;EUR
30/11/2025;ES-AEU-2025-1013204;478,09;478,09;395,12;;ES;EUR
30/11/2025;ES-AEU-2025-1013197;1332,91;1332,91;1101,58;;ES;EUR
31/10/2025;ES-AEU-2025-1010240;5,91;5,21;4,3;1,1343;ES;GBP
31/10/2025;ES-AEU-2025-1010239;7,34;6,47;6,47;1,1343;ES;GBP
31/10/2025;ES-AEU-2025-1006519;7,17;30,52;25,24;0,23496;ES;PLN
31/10/2025;ES-AEU-2025-1006518;39,12;39,12;32,33;0,23496;ES;EUR
31/10/2025;ES-AEU-2025-991775;11,12;11,12;9,19;;ES;EUR
31/10/2025;ES-AEU-2025-991774;18,94;18,94;15,65;;ES;EUR
31/10/2025;ES-AEU-2025-964052;22,93;22,93;22,93;;ES;EUR
31/10/2025;ES-AEU-2025-959031;14,62;14,62;14,62;;ES;EUR
31/10/2025;ES-AEU-2025-948620;3,45;3,45;3,45;;ES;EUR
31/10/2025;ES-AEU-2025-935506;26,29;26,29;21,73;;ES;EUR
31/10/2025;ES-AEU-2025-935505;55,67;55,67;46,01;;ES;EUR
31/10/2025;ES-AEU-2025-932354;12,27;12,27;12,27;;ES;EUR
31/10/2025;ES-AEU-2025-922016;3,88;3,88;3,21;;LU;EUR
31/10/2025;ES-AEU-2025-922013;18,44;18,44;15,24;;LU;EUR
31/10/2025;ES-AEU-2025-913973;520,21;520,21;429,93;;ES;EUR
31/10/2025;ES-AEU-2025-913963;1570,72;1570,72;1298,12;;ES;EUR
31/10/2025;ES-AEU-2025-911642;706,53;706,53;583,91;;ES;EUR
31/10/2025;ES-CN-AEU-2025-244059;18,91;18,91;15,63;;ES;EUR
31/10/2025;ES-CN-AEU-2025-258243;4,99;4,99;4,12;;ES;EUR
31/10/2025;ES-CN-AEU-2025-247558;13,07;13,07;10,8;;ES;EUR
